Name,Description,Type,FedRAMP Moderate,FedRAMP High,Planned 2020,DISA IL 2,DISA IL 4,DISA IL 5 **,DISA IL 6
Azure Database for MariaDB,Managed MariaDB database service for app developers,Databases,✔️,✔️,,✔️,✔️,,
Azure Database for MySQL,Managed MySQL database service for app developers,Databases,✔️,✔️,,✔️,✔️,✔️,
Azure Database for PostgreSQL,Managed PostgreSQL database service for app developers,Databases,✔️,✔️,,✔️,✔️,✔️,
Azure Database for PostgreSQL,Managed PostgreSQL database service for app developers,Hybrid,✔️,✔️,,,,,
Azure Database Migration Service,Simplify on-premises database migration to the cloud,Databases,✔️,✔️,,✔️,✔️,,
Azure Database Migration Service,Simplify on-premises database migration to the cloud,Migration,✔️,✔️,,✔️,✔️,,
Azure Databricks,"Fast, easy, and collaborative Apache Spark-based analytics platform",Analytics,✔️,✔️,,✔️,,,
Azure Databricks,"Fast, easy, and collaborative Apache Spark-based analytics platform",Machine Learning,✔️,✔️,,✔️,,,
Azure DDoS Protection,Protect your applications from Distributed Denial of Service (DDoS) attacks,Networking,✔️,✔️,,✔️,,,
Azure DDoS Protection,Protect your applications from Distributed Denial of Service (DDoS) attacks,Security,✔️,✔️,,✔️,,,
Azure Dedicated Host,A dedicated physical server to host your Azure VMs for Windows and Linux,Compute,,,,,,,
Azure Dedicated HSM,Manage hardware security modules that you use in the cloud,Security,✔️,✔️,,✔️,✔️,,
Azure DevOps,"Services for teams to share code, track work, and ship software",Developer Tools,,,,,,,
Azure DevOps,"Services for teams to share code, track work, and ship software",DevOps,,,,,,,
Azure DevOps,"Services for teams to share code, track work, and ship software",Hybrid,,,,,,,
Azure DevTest Labs,Quickly create environments using reusable templates and artifacts,Developer Tools,,,✔️,✔️,✔️,,
Azure DevTest Labs,Quickly create environments using reusable templates and artifacts,DevOps,,,✔️,✔️,✔️,,
Azure Digital Twins PREVIEW,Build next-generation IoT spatial intelligence solutions,IoT,,,,,,,
Azure Digital Twins PREVIEW,Build next-generation IoT spatial intelligence solutions,Mixed Reality,,,,,,,
Azure Disk Storage,"High-performance, highly durable block storage for Azure Virtual Machines",Storage,✔️,✔️,,✔️,✔️,✔️,✔️
Azure DNS,Host your DNS domain in Azure,Networking,✔️,✔️,,✔️,✔️,✔️,✔️
Azure Event Grid,Get reliable event delivery at massive scale,Integration,,,,✔️,✔️,,
Azure ExpressRoute,Dedicated private network fiber connections to Azure,Hybrid,,,,,,,
Azure ExpressRoute,Dedicated private network fiber connections to Azure,Networking,,,,,,,
Azure File Sync,"Simple, secure, and fully managed cloud file shares",Storage,✔️,✔️,,✔️,✔️,,
Azure Files,"Simple, secure, and fully managed cloud file shares",Storage,✔️,✔️,,✔️,✔️,✔️,✔️
Azure Firewall,"Native firewalling capabilities with built-in high availability, unrestricted cloud scalability, and zero maintenance",Networking,✔️,✔️,,✔️,✔️,,
Azure Firewall Manager,"Central network security policy and route management for globally distributed, software-defined perimeters",Networking,,,,,,,
Azure for Education,Gain skills to jump-start your career and make a positive impact on the world.,Developer Tools,✔️,✔️,,,,,
Azure Front Door,"Scalable, security-enhanced delivery point for global, microservice-based web applications",Networking,✔️,✔️,,✔️,✔️,✔️,
Azure Front Door,"Scalable, security-enhanced delivery point for global, microservice-based web applications",Security,✔️,✔️,,✔️,✔️,✔️,
Azure Functions,Process events with serverless code,Compute,,,,,,,
Azure Functions,Process events with serverless code,Containers,,,,,,,
Azure Functions,Process events with serverless code,IoT,,,,,,,
Azure FXT Edge Filer,Hybrid storage optimization solution for HPC environments,Storage,,,,,,,
Azure Healthcare Bot,built-in medical intelligence with natural language capabilities,Machine Learning,,,✔️,,,,
Azure HPC Cache,File caching for high-performance computing (HPC),Storage,✔️,✔️,,,,,
Azure Information Protection,"Better protect your sensitive information—anytime, anywhere",Identity,✔️,✔️,,✔️,✔️,,
Azure Information Protection,"Better protect your sensitive information—anytime, anywhere",Security,✔️,✔️,,✔️,✔️,,
Azure Internet Analyzer,Test how networking infrastructure changes will impact your customers’ performance.,Networking,✔️,✔️,,,,,
Azure Intune,Mobile device management (MDM) and mobile application management (MAM),Security,✔️,✔️,,✔️,✔️,,
Azure IoT Central,Accelerate the creation of IoT solutions,IoT,,,✔️,,,,
Azure IoT Edge,Extend cloud intelligence and analytics to edge devices,Hybrid,,,,,,,
Azure IoT Edge,Extend cloud intelligence and analytics to edge devices,IoT,,,,,,,
Azure IoT Hub,"Connect, monitor and manage billions of IoT assets",IoT,✔️,✔️,,✔️,✔️,,
Azure IoT Security,Unblock IoT innovation with the confidence of end-to-end security,IoT,✔️,✔️,,✔️,,,
Azure IoT solution accelerators,Create fully customizable solutions with templates for common IoT scenarios,IoT,,,,,,,
Azure Kubernetes Service (AKS),"Simplify the deployment, management, and operations of Kubernetes",Compute,✔️,✔️,,,,,
Azure Kubernetes Service (AKS),"Simplify the deployment, management, and operations of Kubernetes",Containers,✔️,✔️,,✔️,,,
Azure Lab Services,"Set up labs for classrooms, trials, development and testing, and other scenarios",Developer Tools,✔️,✔️,,✔️,✔️,✔️,
Azure Lighthouse,Empowering service providers to manage customers at scale and with precision,Management & Governance,✔️,✔️,,✔️,✔️,,
Azure Machine Learning,"Bring AI to everyone with an end-to-end, scalable, trusted platform with experimentation and model management",IoT,✔️,✔️,,✔️,,,
Azure Machine Learning,"Bring AI to everyone with an end-to-end, scalable, trusted platform with experimentation and model management",Machine Learning,✔️,✔️,,✔️,,,
Azure Machine Learning Studio,Enterprise-grade machine learning service to build and deploy models faster,Machine Learning,,,✔️,,,,
Azure Managed Applications,Simplify management of cloud offerings,Management & Governance,✔️,✔️,,✔️,✔️,,
Azure Maps,Simple and secure location APIs provide geospatial context to data,IoT,✔️,✔️,,✔️,✔️,,
Azure Maps,Simple and secure location APIs provide geospatial context to data,Mobile,✔️,✔️,,✔️,✔️,,
Azure Maps,Simple and secure location APIs provide geospatial context to data,Web,✔️,✔️,,✔️,✔️,,
Azure Marketplace Portal,"Discover, try, and deploy the cloud software you want.",Management & Governance,✔️,✔️,,,,,
Azure Media Player,A single player for all your playback needs,Media,,,,,,,
Azure Migrate,"Easily discover, assess, right-size, and migrate your on-premises VMs to Azure",Management & Governance,✔️,✔️,,✔️,✔️,,
Azure Migrate,"Easily discover, assess, right-size, and migrate your on-premises VMs to Azure",Migration,✔️,✔️,,✔️,✔️,,
Azure mobile app,"Stay connected to your Azure resources—anytime, anywhere",Management & Governance,,,,,,,
Azure Monitor,"Full observability into your applications, infrastructure, and network",DevOps,✔️,✔️,,✔️,✔️,✔️,
Azure Monitor,"Full observability into your applications, infrastructure, and network",Management & Governance,✔️,✔️,,✔️,✔️,✔️,
Azure NetApp Files,"Enterprise-grade Azure file shares, powered by NetApp",Storage,✔️,✔️,,✔️,,,
Azure Open Datasets,Cloud platform to host and share curated open datasets to accelerate development of machine learning models,Machine Learning,,,✔️,,,,
Azure Pipelines,"Continuously build, test, and deploy to any platform and cloud",Developer Tools,,,,,,,
Azure Pipelines,"Continuously build, test, and deploy to any platform and cloud",DevOps,,,,,,,
Azure Policy,Implement corporate governance and standards at scale for Azure resources,Management & Governance,✔️,✔️,,✔️,✔️,,
Azure Private Link,"Private access to services hosted on the Azure platform, keeping your data on the Microsoft network",Networking,✔️,✔️,,✔️,,,
Azure Red Hat OpenShift,"Fully managed OpenShift service, jointly operated with Red Hat",Containers,✔️,✔️,,,,,
Azure Repos,"Get unlimited, cloud-hosted private Git repos for your project",DevOps,,,,,,,
Azure Resource Graph,Providing efficient and performant resource exploration with the ability to query,Management & Governance,✔️,✔️,,✔️,✔️,,
Azure Resource Manager,Simplify how you manage your app resources,Management & Governance,✔️,✔️,,✔️,✔️,✔️,✔️
Azure Resource Manager templates,Deliver infrastructure as code for all your Azure resources using Resource Manager,Management & Governance,,,,,,,
Azure RTOS,Making embedded IoT development and connectivity easy,IoT,,,,,,,
Azure Security Center,Security posture management and threat protection for your hybrid cloud workloads,Security,,,,✔️,✔️,,
Azure Sentinel,Put cloud-native SIEM and intelligent security analytics to work to help protect your enterprise,Hybrid,✔️,✔️,,✔️,,,
Azure Sentinel,Put cloud-native SIEM and intelligent security analytics to work to help protect your enterprise,Security,✔️,✔️,,✔️,,,
Azure Service Health,Personalized guidance and support for when issues in Azure services affect you,Management & Governance,✔️,✔️,,,,,
Azure Service Manager (RDFE),The Service Management API provides programmatic access to much of the functionality available through the Management Portal.,Management & Governance,✔️,✔️,,✔️,✔️,✔️,✔️
Azure SignalR Service,Add real-time web functionalities easily,Web,✔️,✔️,,✔️,,,
Azure Site Recovery,Keep your business running with built-in disaster recovery service,Management & Governance,✔️,✔️,,✔️,✔️,✔️,
Azure Site Recovery,Keep your business running with built-in disaster recovery service,Migration,✔️,✔️,,✔️,✔️,✔️,
Azure Sphere,Securely connect MCU-powered devices from the silicon to the cloud,IoT,,,,,,,
Azure Spring Cloud,"A fully managed Spring Cloud service, built and operated with VMware",Compute,,,,,,,
Azure Spring Cloud,"A fully managed Spring Cloud service, built and operated with VMware",Web,,,,,,,
Azure SQL,Modern SQL family for migration and app modernization,Databases,✔️,✔️,,✔️,✔️,✔️,✔️
Azure SQL Database,"Managed, intelligent SQL in the cloud",Databases,✔️,✔️,,✔️,✔️,✔️,✔️
Azure SQL Database,"Managed, intelligent SQL in the cloud",Hybrid,✔️,✔️,,✔️,✔️,✔️,✔️
Azure SQL Edge PREVIEW,"Small-footprint, edge-optimized data engine with built-in AI",Databases,,,,,,,
Azure SQL Edge PREVIEW,"Small-footprint, edge-optimized data engine with built-in AI",IoT,,,,,,,
Azure SQL Managed Instance,"Managed, always up-to-date SQL instance in the cloud",Databases,,,,,,,
Azure Stack,Build and run innovative hybrid applications across cloud boundaries,Hybrid,,,,,,,
Azure Stack Edge,"An Azure managed appliance that brings the compute, storage, and intelligence of Azure to the edge",Hybrid,✔️,✔️,,✔️,,,
Azure Stack HCI PREVIEW,Integrate hyperconverged infrastructure with Azure and hybrid services to run virtual workloads on premises,Hybrid,,,,,,,
Azure Stack Hub,"Azure Stack Hub is sold as an integrated hardware system, with software pre-installed on validated hardware",Hybrid,,,,✔️,,,
Azure Stream Analytics,Real-time analytics on fast moving streams of data from applications and devices,Analytics,,,,,,,
Azure Stream Analytics,"Serverless real-time analytics, from the cloud to the edge",Analytics,✔️,✔️,,✔️,✔️,,
Azure Stream Analytics,Real-time analytics on fast moving streams of data from applications and devices,IoT,,,,,,,
Azure Synapse Analytics,Limitless analytics service with unmatched time to insight (formerly SQL Data Warehouse),Analytics,✔️,✔️,,✔️,✔️,✔️,
Azure Test Plans,Test and ship with confidence with a manual and exploratory testing toolkit,DevOps,,,,,,,
Azure Time Series Insights,"End-to-end IoT analytics platform to monitor, analyze, and visualize your industrial IoT data at scale",Analytics,✔️,✔️,,,,,
Azure Time Series Insights,Explore and analyze time-series data from IoT devices,IoT,,,,,,,
Azure Virtual Machine Scale Sets,Manage and scale up to thousands of Linux and Windows virtual machines,Compute,✔️,✔️,,✔️,✔️,✔️,✔️
Azure VMware Solution PREVIEW,Run your VMware workloads natively on Azure,Compute,,,,,,,
Batch,Cloud-scale job scheduling and compute management,Compute,✔️,✔️,,✔️,✔️,✔️,✔️
Bing Autosuggest,Give your app intelligent autosuggest options for searches,Machine Learning,,,,,,,
Bing Custom Search,"An easy-to-use, ad-free, commercial-grade search tool that lets you deliver the results you want",Machine Learning,,,,,,,
Bing Entity Search,Enrich your experiences by identifying and augmenting entity information from the web,Machine Learning,,,,,,,
Bing Image Search,Search for images and get comprehensive results,Machine Learning,,,,,,,
Bing News Search,Search for news and get comprehensive results,Machine Learning,,,,,,,
Bing Spell Check,Detect and correct spelling mistakes in your app,Machine Learning,,,,,,,
Bing Video Search,Search for videos and get comprehensive results,Machine Learning,,,,,,,
Bing Visual Search,Get rich insights to help build compelling image applications on the device of your choice.,Machine Learning,,,,,,,
Bing Web Search,Get enhanced search details from billions of web documents,Machine Learning,,,,,,,
Blob storage,REST-based object storage for unstructured data,Storage,,,,,,,
Cloud Services,"Create highly-available, infinitely-scalable cloud applications and APIs",Compute,✔️,✔️,,✔️,✔️,✔️,✔️
Computer Vision,Distill actionable information from images,Machine Learning,✔️,✔️,,✔️,✔️,,
Container Instances,Easily run containers on Azure without managing servers,Compute,✔️,✔️,,✔️,✔️,,
Container Instances,Easily run containers on Azure without managing servers,Containers,✔️,✔️,,✔️,✔️,,
Container Registry,Store and manage container images across all types of Azure deployments,Containers,✔️,✔️,,✔️,✔️,,
Content Delivery Network,"Ensure secure, reliable content delivery with broad global reach",Media,✔️,✔️,,✔️,,,
Content Delivery Network,"Ensure secure, reliable content delivery with broad global reach",Networking,✔️,✔️,,✔️,,,
Content Delivery Network,"Ensure secure, reliable content delivery with broad global reach",Web,✔️,✔️,,✔️,,,
Content Moderator,"Automated image, text, and video moderation",Machine Learning,,,,,,,
Content Protection,"Securely deliver content using AES, PlayReady, Widevine, and Fairplay",Media,,,,,,,
Custom Vision,Easily customize your own state-of-the-art computer vision models for your unique use case,Machine Learning,,,,,,,
Customer Lockbox,Provides an interface for customers to review and approve or reject customer data access requests.,Security,✔️,✔️,,✔️,,,
Data Box,Appliances and solutions for data transfer to Azure and edge compute,Migration,,,,,,,
Data Box,Appliances and solutions for data transfer to Azure and edge compute,Storage,,,,,,,
Data Catalog,Get more value from your enterprise data assets,Analytics,,,✔️,,,,
Data Factory,"Hybrid data integration at enterprise scale, made easy",Analytics,✔️,✔️,,,,,
Data Integrator,Point-to-point integration service used to integrate data into Common Data Service,Security,✔️,✔️,,✔️,✔️,,
Data Lake Analytics,Distributed analytics service that makes big data easy,Analytics,,,,,,,
Data Science Virtual Machines,Rich pre-configured environment for AI development,Machine Learning,,,,,,,
Developer tool integrations,"Use the development tools you know—including Eclipse, IntelliJ, and Maven—with Azure",Developer Tools,,,,,,,
DevOps tool integrations,Use your favorite DevOps tools with Azure,DevOps,,,,,,,
Disk Storage,"High-performance, highly durable block storage for Azure Virtual Machines",Storage,,,,,,,
Dynamics 365 Commerce,"Deliver personalized, seamless shopping experiences across physical and digital channels.",Customer Service,✔️,✔️,,,,,
Dynamics 365 Customer Engagement (Common Data Service),Securely store and manage data that's used by business applications.,Customer Service,✔️,✔️,,✔️,,,
Dynamics 365 Customer Insights,Customer Insights helps you build a deeper understanding of your customers.,Customer Service,,,,✔️,,,
Dynamics 365 Customer Service,Suite of capabilities to ensure your business can deliver the best customer service experience possible to your customers.,Customer Service,,,,✔️,,,
Dynamics 365 Field Service,Helps organizations deliver onsite service to customer locations.,Customer Service,,,,✔️,,,
Dynamics 365 Finance,"Monitor performance in real time, predict future outcomes, and make data-driven decisions to drive business growth.",Customer Service,✔️,✔️,,,,,
Dynamics 365 Forms Pro,Enterprise survey capability that helps businesses obtain the feedback they need to make smarter decisions.,Customer Service,,,,✔️,✔️,,
Dynamics 365 Project Service Automation,"Helps organizations efficiently track, manage, and deliver project-based services, from the initial sale all the way to invoicing.",Customer Service,,,,✔️,,,
Dynamics 365 Sales,"Enables salespeople to build strong relationships with their customers, take actions based on insights, and close sales faster.",Customer Service,,,,✔️,,,
Dynamics 365 Service Omni-Channel Engagement Hub,suite of capabilities that extend the power of Dynamics 365 Customer Service Enterprise,Customer Service,✔️,✔️,,✔️,✔️,,
Dynamics 365 Supply Chain,Build resilience with an agile supply chain,Customer Service,✔️,✔️,,,,,
Encoding,Studio grade encoding at cloud scale,Media,,,,,,,
Event Grid,Get reliable event delivery at massive scale,Integration,✔️,✔️,,,,,
Event Grid,Get reliable event delivery at massive scale,IoT,✔️,✔️,,,,,
Event Hubs,Receive telemetry from millions of devices,Analytics,✔️,✔️,,✔️,✔️,✔️,✔️
ExpressRoute,"Experience a faster, private connection to Azure",Networking,✔️,✔️,,✔️,✔️,✔️,✔️
Face,"Detect, identify, analyze, organize, and tag faces in photos",Machine Learning,,,,,,,
File Storage,File shares that use the standard SMB 3.0 protocol,Storage,,,,,,,
Flow,Create an automation that is triggered by an event,Developer Tools,✔️,✔️,,,,,
Form Recognizer,The AI-powered document extraction service that understands your forms,Machine Learning,✔️,✔️,,,,,
Functions,More than just event-driven serverless compute,Developer Tools,✔️,✔️,,✔️,✔️,✔️,✔️
Guest Configuration,"Azure Policy can audit settings inside a machine, both for machines running in Azure and Arc Connected Machines.",Security,✔️,✔️,,✔️,,,
HDInsight,"Provision cloud Hadoop, Spark, R Server, HBase, and Storm clusters",Analytics,✔️,✔️,,✔️,✔️,✔️,
Immersive Reader,Empower users of all ages and abilities to read and comprehend text,Machine Learning,,,,,,,
Import / Export,"Fast, highly-secured, large data migration to the cloud",Migration,✔️,✔️,,✔️,✔️,✔️,
Ink Recognizer PREVIEW,"An AI service that recognizes digital ink content, such as handwriting, shapes, and ink document layout",Machine Learning,,,,,,,
Key Vault,Safeguard and maintain control of keys and other secrets,Security,✔️,✔️,,✔️,✔️,✔️,✔️
Kinect DK,Build computer vision and speech models using a developer kit with advanced AI sensors,IoT,,,,,,,
Kinect DK,Build computer vision and speech models using a developer kit with advanced AI sensors,Machine Learning,,,,,,,
Kinect DK,Build computer vision and speech models using a developer kit with advanced AI sensors,Mixed Reality,,,,,,,
Language Understanding,Teach your apps to understand commands from your users,Machine Learning,,,,,,,
Linux Virtual Machines,"Provision virtual machines for Ubuntu, Red Hat, and more",Compute,,,,,,,
Live and On-Demand Streaming,Deliver content to virtually all devices with scale to meet business needs,Media,,,,,,,
Live Video Analytics PREVIEW,Build intelligent video-based applications using the AI of your choice,Media,,,,,,,
Load Balancer,Deliver high availability and network performance to your applications,Networking,✔️,✔️,,✔️,✔️,✔️,✔️
Log Analytics,"Collect, search, and visualize machine data from on-premises and cloud",Analytics,✔️,✔️,,✔️,✔️,,
Log Analytics,"Collect, search, and visualize machine data from on-premises and cloud",Management & Governance,✔️,✔️,,✔️,✔️,,
Logic Apps,Automate the access and use of data across clouds without writing code,Blockchain,✔️,✔️,,✔️,✔️,,✔️
Logic Apps,Automate the access and use of data across clouds without writing code,Integration,✔️,✔️,,✔️,✔️,,✔️
Logic Apps,Automate the access and use of data across clouds without writing code,IoT,✔️,✔️,,✔️,✔️,,✔️
Media Services,"Encode, store, and stream video and audio at scale",Media,✔️,✔️,,✔️,✔️,✔️,
Microsoft Azure Peering Service,Networking service that enhances customer connectivity to Microsoft cloud services,Networking,✔️,✔️,,,,,
Microsoft Azure portal,"Build, manage, and monitor all Azure products in a single, unified console",Management & Governance,✔️,✔️,,✔️,✔️,✔️,✔️
Microsoft Cloud App Security,Microsoft delivers unified SIEM and XDR to modernize security operations,Security,✔️,✔️,,✔️,✔️,,
Microsoft Defender Advanced Threat Protection,"endpoint security platform designed to help enterprise networks prevent, detect, investigate, and respond to advanced threats.",Security,✔️,✔️,,✔️,✔️,,
Microsoft Genomics,Power genome sequencing & research insights,Machine Learning,,,,,,,
Microsoft Graph,Microsoft Graph is the gateway to data and intelligence in Microsoft 365,Developer Tools,✔️,✔️,,✔️,✔️,✔️,✔️
Microsoft Managed Desktop,strategic control of your modernization journey with end-to-end device management and security monitoring.,Security,,,,,,,
Microsoft PowerApps,"Suite of apps, services, connectors and data platform that provides a rapid application development environment to build custom apps for your business needs.",Developer Tools,✔️,✔️,,✔️,✔️,,
Microsoft Stream,"Enterprise Video service where people in your organization can upload, view, and share videos securely.",Networking,✔️,✔️,,✔️,✔️,✔️,
Mobile Apps,Build and host the backend for any mobile app,Compute,,,,,,,
Mobile Apps,Build and host the backend for any mobile app,Containers,,,,,,,
Mobile Apps,Build and host the backend for any mobile app,Web,,,,,,,
