Name,Description,Type
Azure Resource Manager templates,Deliver infrastructure as code for all your Azure resources using Resource Manager,Management & Governance
Azure RTOS,Making embedded IoT development and connectivity easy,IoT
Azure Sentinel,Put cloud-native SIEM and intelligent security analytics to work to help protect your enterprise,Hybrid
Azure Sentinel,Put cloud-native SIEM and intelligent security analytics to work to help protect your enterprise,Security
Azure Service Health,Personalized guidance and support for when issues in Azure services affect you,Management & Governance
Azure SignalR Service,Add real-time web functionalities easily,Web
Azure Site Recovery,Keep your business running with built-in disaster recovery service,Management & Governance
Azure Site Recovery,Keep your business running with built-in disaster recovery service,Migration
Azure Sphere,Securely connect MCU-powered devices from the silicon to the cloud,IoT
Azure Spring Cloud,"A fully managed Spring Cloud service, built and operated with VMware",Compute
Azure Spring Cloud,"A fully managed Spring Cloud service, built and operated with VMware",Web
Azure SQL,Modern SQL family for migration and app modernization,Databases
Azure SQL Database,"Managed, intelligent SQL in the cloud",Databases
Azure SQL Database,"Managed, intelligent SQL in the cloud",Hybrid
Azure SQL Edge PREVIEW,"Small-footprint, edge-optimized data engine with built-in AI",Databases
Azure SQL Edge PREVIEW,"Small-footprint, edge-optimized data engine with built-in AI",IoT
Azure SQL Managed Instance,"Managed, always up-to-date SQL instance in the cloud",Databases
Azure Stack,Build and run innovative hybrid applications across cloud boundaries,Hybrid
Azure Stack Edge,"An Azure managed appliance that brings the compute, storage, and intelligence of Azure to the edge",Hybrid
Azure Stack HCI PREVIEW,Integrate hyperconverged infrastructure with Azure and hybrid services to run virtual workloads on premises,Hybrid
Azure Stack Hub,"Azure Stack Hub is sold as an integrated hardware system, with software pre-installed on validated hardware",Hybrid
Azure Stream Analytics,Real-time analytics on fast moving streams of data from applications and devices,Analytics
Azure Stream Analytics,Real-time analytics on fast moving streams of data from applications and devices,IoT
Azure Synapse Analytics,Limitless analytics service with unmatched time to insight (formerly SQL Data Warehouse),Analytics
Azure Test Plans,Test and ship with confidence with a manual and exploratory testing toolkit,DevOps
Azure Time Series Insights,Explore and analyze time-series data from IoT devices,IoT
Azure VMware Solution PREVIEW,Run your VMware workloads natively on Azure,Compute
Batch,Cloud-scale job scheduling and compute management,Compute
Bing Autosuggest,Give your app intelligent autosuggest options for searches,Machine Learning
Bing Custom Search,"An easy-to-use, ad-free, commercial-grade search tool that lets you deliver the results you want",Machine Learning
Bing Entity Search,Enrich your experiences by identifying and augmenting entity information from the web,Machine Learning
Bing Image Search,Search for images and get comprehensive results,Machine Learning
Bing News Search,Search for news and get comprehensive results,Machine Learning
Bing Spell Check,Detect and correct spelling mistakes in your app,Machine Learning
Bing Video Search,Search for videos and get comprehensive results,Machine Learning
Bing Visual Search,Get rich insights to help build compelling image applications on the device of your choice.,Machine Learning
Bing Web Search,Get enhanced search details from billions of web documents,Machine Learning
Blob storage,REST-based object storage for unstructured data,Storage
Cloud Services,"Create highly-available, infinitely-scalable cloud applications and APIs",Compute
Cloud Shell,Streamline Azure administration with a browser-based shell,Management & Governance
Computer Vision,Distill actionable information from images,Machine Learning
Container Instances,Easily run containers on Azure without managing servers,Compute
Container Instances,Easily run containers on Azure without managing servers,Containers
Container Registry,Store and manage container images across all types of Azure deployments,Containers
Content Delivery Network,"Ensure secure, reliable content delivery with broad global reach",Media
Content Delivery Network,"Ensure secure, reliable content delivery with broad global reach",Networking
Content Delivery Network,"Ensure secure, reliable content delivery with broad global reach",Web
Content Moderator,"Automated image, text, and video moderation",Machine Learning
Content Protection,"Securely deliver content using AES, PlayReady, Widevine, and Fairplay",Media
Cost Management + Billing,"Optimize what you spend on the cloud, while maximizing cloud potential",Management & Governance
Cost Management + Billing,"Optimize what you spend on the cloud, while maximizing cloud potential",Migration
Custom Vision,Easily customize your own state-of-the-art computer vision models for your unique use case,Machine Learning
Data Box,Appliances and solutions for data transfer to Azure and edge compute,Migration
Data Box,Appliances and solutions for data transfer to Azure and edge compute,Storage
Data Catalog,Get more value from your enterprise data assets,Analytics
Data Factory,"Hybrid data integration at enterprise scale, made easy",Analytics
Data Lake Analytics,Distributed analytics service that makes big data easy,Analytics
Data Science Virtual Machines,Rich pre-configured environment for AI development,Machine Learning
Developer tool integrations,"Use the development tools you know—including Eclipse, IntelliJ, and Maven—with Azure",Developer Tools
DevOps tool integrations,Use your favorite DevOps tools with Azure,DevOps
Disk Storage,"High-performance, highly durable block storage for Azure Virtual Machines",Storage
Encoding,Studio grade encoding at cloud scale,Media
Event Grid,Get reliable event delivery at massive scale,Integration
Event Grid,Get reliable event delivery at massive scale,IoT
Event Hubs,Receive telemetry from millions of devices,Analytics
Face,"Detect, identify, analyze, organize, and tag faces in photos",Machine Learning
File Storage,File shares that use the standard SMB 3.0 protocol,Storage
Form Recognizer,The AI-powered document extraction service that understands your forms,Machine Learning
HDInsight,"Provision cloud Hadoop, Spark, R Server, HBase, and Storm clusters",Analytics
Immersive Reader,Empower users of all ages and abilities to read and comprehend text,Machine Learning
Ink Recognizer PREVIEW,"An AI service that recognizes digital ink content, such as handwriting, shapes, and ink document layout",Machine Learning
Key Vault,Safeguard and maintain control of keys and other secrets,Security
Kinect DK,Build computer vision and speech models using a developer kit with advanced AI sensors,IoT
Kinect DK,Build computer vision and speech models using a developer kit with advanced AI sensors,Machine Learning
Kinect DK,Build computer vision and speech models using a developer kit with advanced AI sensors,Mixed Reality
Language Understanding,Teach your apps to understand commands from your users,Machine Learning
Linux Virtual Machines,"Provision virtual machines for Ubuntu, Red Hat, and more",Compute
Live and On-Demand Streaming,Deliver content to virtually all devices with scale to meet business needs,Media
Live Video Analytics PREVIEW,Build intelligent video-based applications using the AI of your choice,Media
Load Balancer,Deliver high availability and network performance to your applications,Networking
Log Analytics,"Collect, search, and visualize machine data from on-premises and cloud",Analytics
Log Analytics,"Collect, search, and visualize machine data from on-premises and cloud",Management & Governance
Logic Apps,Automate the access and use of data across clouds without writing code,Blockchain
Logic Apps,Automate the access and use of data across clouds without writing code,Integration
Logic Apps,Automate the access and use of data across clouds without writing code,IoT
Media Services,"Encode, store, and stream video and audio at scale",Media
Microsoft Azure portal,"Build, manage, and monitor all Azure products in a single, unified console",Management & Governance
Microsoft Genomics,Power genome sequencing & research insights,Machine Learning
Mobile Apps,Build and host the backend for any mobile app,Compute
Mobile Apps,Build and host the backend for any mobile app,Containers
Mobile Apps,Build and host the backend for any mobile app,Web
Network Watcher,Network performance monitoring and diagnostics solution,Management & Governance
Network Watcher,Network performance monitoring and diagnostics solution,Networking
Notification Hubs,Send push notifications to any platform from any back end,IoT
Notification Hubs,Send push notifications to any platform from any back end,Mobile
Notification Hubs,Send push notifications to any platform from any back end,Web
Personalizer,An AI service that delivers a personalized user experience,Machine Learning
Power BI Embedded,"Embed fully interactive, stunning data visualizations in your applications",Analytics
Project Bonsai PREVIEW,A machine teaching service for creating intelligent industrial control systems using simulations,Machine Learning
QnA Maker,"Distill information into conversational, easy-to-navigate answers",Machine Learning
Queue Storage,Effectively scale apps according to traffic,Storage
R Server for HDInsight,"Predictive analytics, machine learning, and statistical modeling for big data",Analytics
Remote Rendering PREVIEW,"Render high-quality, interactive 3D content, and stream it to your devices in real time",Mixed Reality
SDKs,Get the SDKs and command-line tools you need,Developer Tools
Security Center,Unify security management and enable advanced threat protection across hybrid cloud workloads,Hybrid
Security Center,Unify security management and enable advanced threat protection across hybrid cloud workloads,Security
Service Bus,Connect across private and public cloud environments,Integration
Service Fabric,Develop microservices and orchestrate containers on Windows or Linux,Compute
Service Fabric,Develop microservices and orchestrate containers on Windows or Linux,Containers
Spatial Anchors,"Create multi-user, spatially aware mixed reality experiences",Mixed Reality
Spatial Anchors,"Create multi-user, spatially aware mixed reality experiences",Mobile
Speaker Recognition PREVIEW,A Speech service feature that verifies and identifies speakers,Machine Learning
Speech to Text,A Speech service feature that accurately converts spoken audio to text,Machine Learning
Speech Translation,Easily integrate real-time speech translation to your app,Machine Learning
SQL Server on Virtual Machines,Host enterprise SQL Server apps in the cloud,Compute
SQL Server on Virtual Machines,Host enterprise SQL Server apps in the cloud,Databases
Static Web Apps PREVIEW,A modern web app service that offers streamlined full-stack development from source code to global high availability,Compute
Static Web Apps PREVIEW,A modern web app service that offers streamlined full-stack development from source code to global high availability,Web
Storage Accounts,"Durable, highly available, and massively scalable cloud storage",Storage
Storage Explorer,View and interact with Azure Storage resources,Storage
StorSimple,Lower costs with an enterprise hybrid cloud storage solution,Storage
Table Storage,NoSQL key-value store using semi-structured datasets,Databases
Text Analytics,Easily evaluate sentiment and topics to understand what users want,Machine Learning
Text to Speech,A Speech service feature that converts text to lifelike speech,Machine Learning
Traffic Manager,Route incoming traffic for high performance and availability,Management & Governance
Traffic Manager,Route incoming traffic for high performance and availability,Networking
Translator,Easily conduct machine translation with a simple REST API call,Machine Learning
Video Indexer,Unlock video insights,Machine Learning
Video Indexer,Unlock video insights,Media
Virtual Machine Scale Sets,Manage and scale up to thousands of Linux and Windows virtual machines,Compute
Virtual Machines,Provision Windows and Linux virtual machines in seconds,Compute
Virtual Network,"Provision private networks, optionally connect to on-premises datacenters",Networking
Virtual WAN,Optimize and automate branch to branch connectivity through Azure,Networking
Visual Studio,The powerful and flexible environment for developing applications in the cloud,Developer Tools
Visual Studio App Center,"Continuously build, test, release, and monitor your mobile and desktop apps",Mobile
Visual Studio Code,"A powerful, lightweight code editor for cloud development",Developer Tools
Visual Studio Codespaces PREVIEW,Cloud-powered development environments accessible from anywhere,Developer Tools
VPN Gateway,"Establish secure, cross-premises connectivity",Networking
VPN Gateway,"Establish secure, cross-premises connectivity",Security
Web App for Containers,Easily deploy and run containerized web apps that scale with your business,Containers
Web App for Containers,Easily deploy and run containerized web apps that scale with your business,Web
Web Application Firewall,A cloud-native web application firewall (WAF) service that provides powerful protection for web apps,Networking
Web Application Firewall,A cloud-native web application firewall (WAF) service that provides powerful protection for web apps,Security
Web Apps,Quickly create and deploy mission critical web apps at scale,Compute
Web Apps,Quickly create and deploy mission critical web apps at scale,Containers
Web Apps,Quickly create and deploy mission critical web apps at scale,Web
Windows 10 IoT Core Services,Long-term OS support and services to manage device updates and assess device health,IoT
Windows Virtual Desktop,"The best virtual desktop experience, delivered on Azure",Compute
Windows Virtual Desktop,"The best virtual desktop experience, delivered on Azure",Windows Virtual Desktop
Xamarin,Create cloud-powered mobile apps faster,Mobile
